ClaimNumber,PolicyNumber, ClaimAmount ,LossDate,ReportDate
C901861,P100091,490,6/13/2015,3/14/2016
C901862,P101695,119,4/11/2015,3/14/2016
C901863,P105544,10232,2/17/2016,3/15/2016
C901864,P101766,465,10/1/2014,3/15/2016
C901865,P102830,2664,1/29/2016,3/15/2016
C901866,P105811,4488,1/14/2016,3/15/2016
C901867,P101368,10404,3/1/2015,3/15/2016
C901868,P105590,9775,2/13/2016,3/15/2016
C901869,P105233,68,1/5/2016,3/15/2016
C901870,P100053,11343,1/13/2015,3/15/2016
C901871,P102600,37268,9/7/2015,3/16/2016
C901872,P101305,22426,7/21/2015,3/16/2016
C901873,P102393,2116,12/17/2015,3/16/2016
C901874,P102844,306,11/21/2014,3/16/2016
C901875,P100783,2719,2/25/2015,3/16/2016
C901876,P105371,14644,10/5/2015,3/16/2016
C901877,P100421,2177,3/23/2015,3/17/2016
C901878,P101459,24214,1/5/2016,3/17/2016
C901879,P102365,2347,12/27/2014,3/17/2016
C901880,P103643,1931,5/11/2015,3/17/2016
C901881,P101577,6297,9/19/2014,3/17/2016
C901882,P101594,9471,10/7/2015,3/17/2016
C901883,P103427,23595,4/19/2015,3/17/2016
C901884,P103610,3220,1/27/2016,3/17/2016
C901885,P106293,3535,12/24/2015,3/18/2016
C901886,P102728,5927,3/13/2015,3/18/2016
C901887,P105301,1759,3/18/2016,3/18/2016
C901888,P104508,15895,7/2/2015,3/18/2016
C901889,P105146,3860,3/2/2016,3/19/2016
C901890,P102254,5133,12/28/2014,3/19/2016
C901891,P101069,2584,7/29/2015,3/19/2016
C901892,P102962,2483,12/18/2014,3/19/2016
C901893,P100122,2019,7/30/2014,3/20/2016
C901894,P105581,11882,2/29/2016,3/20/2016
C901895,P103895,5041,1/23/2015,3/20/2016
C901896,P102579,6432,8/6/2015,3/20/2016
C901897,P106309,4486,1/20/2016,3/20/2016
C901898,P105906,606,1/14/2016,3/21/2016
C901899,P103332,5945,9/12/2015,3/21/2016
C901900,P104243,4185,1/31/2015,3/21/2016
C901901,P105567,449,10/12/2015,3/21/2016
C901902,P103697,8832,12/27/2014,3/21/2016
C901903,P101065,3281,2/19/2016,3/21/2016
C901904,P105486,728,2/14/2016,3/21/2016
C901905,P104062,4192,6/17/2015,3/21/2016
C901906,P101803,8730,9/25/2015,3/21/2016
C901907,P105096,0,12/28/2015,3/21/2016
C901908,P104134,11672,10/22/2015,3/22/2016
C901909,P106598,701,3/3/2016,3/22/2016
C901910,P100523,841,11/1/2015,3/22/2016
C901911,P102312,4088,12/14/2015,3/22/2016
C901912,P100352,5193,9/28/2015,3/23/2016
C901913,P104983,794,4/5/2015,3/23/2016
C901914,P104964,6201,2/7/2016,3/23/2016
C901915,P105044,6556,8/2/2015,3/24/2016
C901916,P100735,5749,12/23/2015,3/24/2016
C901917,P106292,16006,3/9/2016,3/24/2016
C901918,P105765,6031,3/7/2016,3/25/2016
C901919,P100547,3748,2/17/2016,3/26/2016
C901920,P102214,2972,10/20/2015,3/26/2016
C901921,P102352,7128,2/22/2015,3/26/2016
C901922,P104358,7149,10/22/2015,3/27/2016
C901923,P102660,4007,6/8/2015,3/27/2016
C901924,P101898,2094,2/16/2015,3/27/2016
C901925,P106481,14023,1/15/2016,3/27/2016
C901926,P104856,6805,2/17/2016,3/27/2016
C901927,P102900,2852,4/14/2015,3/28/2016
C901928,P100627,13651,1/4/2015,3/28/2016
C901929,P103566,6177,5/19/2015,3/28/2016
C901930,P104375,3845,2/21/2015,3/28/2016
C901931,P105912,10999,1/21/2016,3/28/2016
C901932,P102882,5663,12/5/2015,3/28/2016
C901933,P101990,2694,1/22/2016,3/29/2016
C901934,P101421,214,2/13/2016,3/29/2016
C901935,P103741,1298,6/18/2015,3/29/2016
C901936,P102977,11433,12/30/2015,3/29/2016
C901937,P100797,7198,3/24/2015,3/29/2016
C901938,P101527,1632,3/1/2015,3/30/2016
C901939,P105553,2469,2/11/2016,3/30/2016
C901940,P102776,2449,7/20/2015,3/30/2016
C901941,P103793,230,2/24/2016,3/30/2016
C901942,P103708,3949,9/6/2015,3/30/2016
C901943,P100512,922,1/30/2016,3/31/2016
C901944,P103437,655,2/11/2016,3/31/2016
C901945,P104709,8090,2/17/2016,3/31/2016
C901946,P103592,528,7/28/2015,3/31/2016
C901947,P105355,3607,9/28/2015,3/31/2016
C901948,P104906,24296,9/10/2015,4/1/2016
C901949,P102366,484,4/5/2015,4/1/2016
C901950,P103257,4153,6/19/2015,4/1/2016
C901951,P103818,1043,10/26/2015,4/1/2016
C901952,P101689,3057,7/13/2014,4/2/2016
C901953,P100506,18028,9/23/2014,4/2/2016
C901954,P100602,1064,3/12/2016,4/2/2016
C901955,P101389,13753,12/9/2015,4/2/2016
C901956,P104644,1916,3/11/2016,4/2/2016
C901957,P102365,4760,12/25/2015,4/3/2016
C901958,P102776,676,2/23/2015,4/3/2016
C901959,P101320,5611,11/26/2015,4/3/2016
C901960,P106262,22663,1/22/2016,4/3/2016
C901961,P102620,6475,3/16/2015,4/3/2016
C901962,P103894,306,4/1/2016,4/4/2016
C901963,P105046,9046,5/6/2015,4/4/2016
C901964,P100523,2488,3/19/2015,4/4/2016
C901965,P104989,6304,9/24/2015,4/4/2016
C901966,P105846,2336,11/5/2015,4/5/2016
C901967,P105220,6532,11/19/2015,4/5/2016
C901968,P105089,417,11/8/2015,4/5/2016
C901969,P103189,2536,10/22/2015,4/5/2016
C901970,P104234,138,5/10/2015,4/5/2016
C901971,P105281,1126,3/2/2016,4/5/2016
C901972,P100503,7066,8/2/2015,4/5/2016
C901973,P105970,5797,9/21/2015,4/5/2016
C901974,P101601,537,12/15/2015,4/6/2016
C901975,P106033,1004,11/14/2015,4/6/2016
C901976,P101213,3268,3/30/2015,4/6/2016
C901977,P101624,1557,2/20/2016,4/6/2016
C901978,P100376,1768,8/19/2015,4/7/2016
C901979,P103935,5266,2/19/2016,4/7/2016
C901980,P105731,733,12/14/2015,4/7/2016
C901981,P102984,2418,2/27/2015,4/7/2016
C901982,P105702,167,11/12/2015,4/8/2016
C901983,P103170,23242,3/12/2015,4/8/2016
C901984,P101136,148,2/6/2016,4/8/2016
C901985,P101931,10866,1/9/2016,4/9/2016
C901986,P101591,1111,2/12/2015,4/9/2016
C901987,P100953,1130,6/27/2015,4/9/2016
C901988,P105141,3860,2/18/2016,4/9/2016
C901989,P101218,130,6/12/2015,4/9/2016
C901990,P103163,998,6/2/2015,4/9/2016
C901991,P103934,139,5/24/2015,4/9/2016
C901992,P102856,2837,12/12/2014,4/9/2016
C901993,P102785,3921,12/7/2015,4/10/2016
C901994,P104473,8523,3/9/2015,4/10/2016
C901995,P101671,3588,8/30/2015,4/10/2016
C901996,P103686,10168,12/11/2014,4/10/2016
C901997,P100576,9065,9/17/2015,4/10/2016
C901998,P106512,1898,2/23/2016,4/11/2016
C901999,P105075,1269,11/22/2015,4/11/2016
C902000,P101604,2782,8/8/2014,4/11/2016
C902001,P103186,18378,3/5/2016,4/11/2016
C902002,P105083,255,10/14/2015,4/12/2016
C902003,P100966,2027,1/3/2015,4/12/2016
C902004,P102896,2533,12/11/2014,4/12/2016
C902005,P100817,10110,9/10/2014,4/12/2016
C902006,P100558,7549,11/5/2014,4/13/2016
C902007,P103911,6537,1/12/2016,4/13/2016
C902008,P103880,7564,11/10/2014,4/13/2016
C902009,P100121,13799,12/12/2014,4/13/2016
C902010,P103023,8561,10/10/2015,4/13/2016
C902011,P104381,11258,6/26/2015,4/13/2016
C902012,P101151,3601,12/13/2015,4/14/2016
C902013,P100335,3174,7/13/2015,4/14/2016
C902014,P101772,1372,9/7/2014,4/14/2016
C902015,P104206,5310,8/25/2015,4/14/2016
C902016,P103578,21654,8/15/2015,4/15/2016
C902017,P100782,1071,2/25/2015,4/15/2016
C902018,P101927,5732,3/29/2016,4/16/2016
C902019,P105409,1107,10/19/2015,4/16/2016
C902020,P105684,6187,12/29/2015,4/16/2016
C902021,P102570,1766,12/25/2014,4/16/2016
C902022,P100335,5427,4/10/2016,4/16/2016
C902023,P100261,19472,6/6/2015,4/16/2016
C902024,P100119,169,10/29/2015,4/16/2016
C902025,P100959,7997,12/30/2015,4/16/2016
C902026,P103028,6512,12/14/2014,4/16/2016
C902027,P105075,900,3/5/2016,4/17/2016
C902028,P106794,400,4/6/2016,4/17/2016
C902029,P104087,408,2/11/2015,4/17/2016
C902030,P106647,4960,3/23/2016,4/18/2016
C902031,P101772,535,8/2/2015,4/18/2016
C902032,P104687,7862,6/13/2015,4/18/2016
C902033,P101051,13610,1/24/2015,4/18/2016
C902034,P102399,1764,3/17/2016,4/18/2016
C902035,P102973,8528,3/28/2016,4/19/2016
C902036,P106761,8666,3/8/2016,4/19/2016
C902037,P100089,2707,3/5/2015,4/19/2016
C902038,P101977,2375,8/1/2014,4/19/2016
C902039,P105239,2116,3/8/2016,4/19/2016
C902040,P100576,5286,10/31/2015,4/20/2016
C902041,P103502,7330,3/1/2016,4/20/2016
C902042,P103159,4223,3/19/2016,4/21/2016
C902043,P104500,8969,2/17/2016,4/21/2016
C902044,P103205,14132,1/2/2015,4/21/2016
C902045,P102373,2213,8/25/2015,4/21/2016
C902046,P105744,5750,3/5/2016,4/21/2016
C902047,P101242,7059,1/26/2016,4/22/2016
C902048,P104062,1893,11/15/2015,4/22/2016
C902049,P102448,12386,2/5/2015,4/22/2016
C902050,P104821,7076,12/9/2015,4/22/2016
C902051,P102379,2549,4/18/2015,4/22/2016
C902052,P101169,1700,11/18/2014,4/23/2016
C902053,P102085,2309,5/10/2015,4/23/2016
C902054,P105370,6289,2/15/2016,4/23/2016
C902055,P103904,2475,11/27/2015,4/23/2016
C902056,P100066,4065,2/21/2015,4/23/2016
C902057,P104420,887,1/24/2016,4/24/2016
C902058,P105375,1949,8/10/2015,4/24/2016
C902059,P103452,2757,10/31/2014,4/24/2016
C902060,P104261,1040,12/29/2015,4/24/2016
C902061,P102434,994,3/29/2016,4/25/2016
C902062,P102135,442,4/24/2016,4/25/2016
C902063,P106204,7046,4/24/2016,4/25/2016
C902064,P100157,8557,11/3/2014,4/25/2016
C902065,P104637,13188,3/28/2016,4/26/2016
C902066,P104732,12068,4/28/2015,4/26/2016
C902067,P105690,17332,3/6/2016,4/26/2016
C902068,P104010,2891,6/21/2015,4/26/2016
C902069,P104987,128,10/9/2015,4/27/2016
C902070,P101757,1201,10/20/2015,4/27/2016
C902071,P104221,12488,8/3/2015,4/27/2016
C902072,P101569,3469,12/9/2015,4/27/2016
C902073,P100553,1889,5/16/2015,4/27/2016
C902074,P102633,599,11/15/2015,4/27/2016
C902075,P103705,3438,11/10/2014,4/27/2016
C902076,P102998,19443,6/16/2015,4/27/2016
C902077,P100183,6581,12/16/2015,4/27/2016
C902078,P100259,104,11/17/2014,4/28/2016
C902079,P101418,8659,2/14/2016,4/28/2016
C902080,P100591,2472,4/1/2014,4/28/2016
C902081,P103806,2858,7/30/2015,4/28/2016
C902082,P101090,6060,5/24/2015,4/28/2016
C902083,P101310,4071,10/16/2014,4/29/2016
C902084,P100941,2974,8/28/2014,4/29/2016
C902085,P103485,3205,3/20/2016,4/29/2016
C902086,P100481,3628,7/2/2015,4/29/2016
C902087,P104779,302,6/15/2015,4/29/2016
C902088,P102946,25207,3/1/2015,4/29/2016
C902089,P102485,10689,2/20/2015,4/29/2016
C902090,P105147,23653,7/25/2015,4/29/2016
C902091,P104152,1874,3/23/2015,4/30/2016
C902092,P103510,4997,4/5/2015,4/30/2016
C902093,P103224,12819,9/2/2015,4/30/2016
C902094,P100760,9579,2/4/2016,5/1/2016
C902095,P103715,5362,10/24/2015,5/1/2016
C902096,P104174,2344,2/10/2016,5/1/2016
C902097,P101880,1512,3/25/2016,5/1/2016
C902098,P100594,4796,10/31/2015,5/1/2016
C902099,P102805,19257,12/25/2015,5/1/2016
C902100,P101902,1199,4/15/2016,5/2/2016
C902101,P102663,4126,10/2/2015,5/2/2016
C902102,P103066,360,12/24/2015,5/2/2016
C902103,P103738,385,1/3/2015,5/2/2016
C902104,P103985,2521,11/5/2015,5/3/2016
C902105,P104558,4067,8/25/2015,5/3/2016
C902106,P105341,1435,10/21/2015,5/3/2016
C902107,P105293,1906,2/26/2016,5/3/2016
C902108,P104999,9319,3/31/2015,5/3/2016
C902109,P106588,5732,2/7/2016,5/3/2016
C902110,P103685,1194,3/23/2015,5/4/2016
C902111,P105430,6886,12/13/2015,5/4/2016
C902112,P101387,6429,8/12/2015,5/4/2016
C902113,P101695,9302,10/24/2014,5/4/2016
C902114,P103477,1349,11/6/2015,5/4/2016
C902115,P103849,10882,9/19/2015,5/4/2016
C902116,P105447,8857,5/1/2016,5/5/2016
C902117,P100890,2075,10/22/2015,5/6/2016
C902118,P104313,3665,10/5/2015,5/6/2016
C902119,P104600,438,11/21/2015,5/6/2016
C902120,P104874,1538,1/11/2016,5/6/2016
C902121,P103613,347,10/6/2015,5/6/2016
C902122,P105605,2867,12/24/2015,5/6/2016
C902123,P106102,7678,10/4/2015,5/7/2016
C902124,P100054,665,2/26/2016,5/7/2016
C902125,P101872,2162,7/30/2015,5/7/2016
C902126,P102573,2417,3/3/2015,5/7/2016
C902127,P103094,1107,8/19/2015,5/7/2016
C902128,P100204,492,4/19/2016,5/8/2016
C902129,P103704,4361,4/10/2016,5/8/2016
C902130,P101600,2472,3/19/2015,5/8/2016
C902131,P100652,1848,10/25/2015,5/8/2016
C902132,P102399,3629,10/31/2014,5/8/2016
C902133,P102935,3567,12/28/2015,5/8/2016
C902134,P106374,14535,3/9/2016,5/8/2016
C902135,P104413,3083,4/26/2015,5/8/2016
C902136,P104255,13289,1/10/2016,5/8/2016
C902137,P104650,546,8/9/2015,5/9/2016
C902138,P103627,2470,10/11/2015,5/9/2016
C902139,P103729,5029,3/16/2015,5/10/2016
C902140,P102502,11150,5/24/2015,5/10/2016
C902141,P104024,5279,12/10/2015,5/11/2016
C902142,P103377,2731,3/10/2016,5/11/2016
C902143,P103757,2433,1/16/2016,5/11/2016
C902144,P104163,2037,12/4/2015,5/11/2016
C902145,P105096,2979,1/10/2016,5/11/2016
C902146,P103315,2614,2/9/2016,5/11/2016
C902147,P102896,13439,3/17/2016,5/12/2016
C902148,P101003,405,1/1/2016,5/12/2016
C902149,P102301,3245,7/31/2015,5/12/2016
C902150,P103554,7535,12/12/2014,5/13/2016
C902151,P102195,524,2/12/2016,5/13/2016
C902152,P100981,18024,2/25/2016,5/13/2016
C902153,P106188,9845,12/8/2015,5/14/2016
C902154,P102335,1977,1/12/2016,5/14/2016
C902155,P104285,970,3/29/2016,5/14/2016
C902156,P101156,27504,3/6/2016,5/14/2016
C902157,P102972,5667,11/30/2015,5/14/2016
C902158,P103070,4169,5/3/2016,5/14/2016
C902159,P103129,885,5/3/2015,5/14/2016
C902160,P104333,1132,8/4/2015,5/14/2016
C902161,P105449,8246,1/3/2016,5/14/2016
C902162,P103872,8538,6/29/2015,5/14/2016
C902163,P100485,7140,6/11/2014,5/14/2016
C902164,P103771,3481,9/6/2015,5/14/2016
C902165,P100088,692,3/22/2015,5/14/2016
C902166,P101146,826,11/15/2015,5/14/2016
C902167,P103679,1096,11/18/2015,5/15/2016
C902168,P104835,3688,7/23/2015,5/15/2016
C902169,P100405,6134,11/12/2014,5/15/2016
C902170,P102984,6846,10/9/2014,5/15/2016
C902171,P106055,3274,3/26/2016,5/15/2016
C902172,P104075,23900,10/24/2015,5/15/2016
C902173,P102398,3669,5/6/2016,5/16/2016
C902174,P104827,290,11/16/2015,5/16/2016
C902175,P106623,14215,2/11/2016,5/16/2016
C902176,P105945,6768,4/12/2016,5/16/2016
C902177,P104482,16557,5/15/2016,5/16/2016
C902178,P102563,2260,10/17/2015,5/16/2016
C902179,P106484,11355,1/15/2016,5/16/2016
C902180,P105778,10050,1/23/2016,5/16/2016
C902181,P101306,3877,6/5/2015,5/17/2016
C902182,P103289,2777,5/8/2016,5/17/2016
C902183,P101790,12742,1/1/2016,5/17/2016
C902184,P102767,2924,4/9/2016,5/17/2016
C902185,P100231,4353,11/10/2014,5/17/2016
C902186,P104353,9497,3/12/2015,5/17/2016
C902187,P100959,2434,12/14/2014,5/17/2016
C902188,P105377,10473,3/29/2016,5/18/2016
C902189,P100703,3465,11/12/2014,5/18/2016
C902190,P100595,1496,2/8/2015,5/18/2016
C902191,P103880,12495,7/18/2015,5/18/2016
C902192,P105869,8145,4/25/2016,5/18/2016
C902193,P101240,806,3/10/2016,5/18/2016
C902194,P102421,9242,4/3/2015,5/19/2016
C902195,P101539,602,12/12/2015,5/19/2016
C902196,P104690,4691,1/25/2016,5/19/2016
C902197,P100263,27987,6/1/2015,5/19/2016
C902198,P103859,2814,11/17/2015,5/19/2016
C902199,P105083,10904,5/2/2016,5/19/2016
C902200,P100105,19669,1/24/2014,5/19/2016
C902201,P105798,10793,5/1/2016,5/20/2016
C902202,P100931,5051,10/3/2015,5/20/2016
C902203,P106004,3565,4/13/2016,5/20/2016
C902204,P103600,2803,3/14/2016,5/21/2016
C902205,P104638,397,1/1/2016,5/21/2016
C902206,P103266,9354,12/24/2015,5/21/2016
C902207,P104177,1022,3/15/2015,5/21/2016
C902208,P102212,7923,3/17/2016,5/21/2016
C902209,P103511,8432,11/7/2015,5/21/2016
C902210,P104661,433,4/26/2016,5/21/2016
C902211,P104379,33777,1/26/2016,5/22/2016
C902212,P103743,4331,4/15/2016,5/22/2016
C902213,P101399,3258,4/24/2016,5/22/2016
C902214,P105745,10577,3/26/2016,5/22/2016
C902215,P106169,3135,11/19/2015,5/22/2016
C902216,P102543,387,2/18/2016,5/22/2016
C902217,P106704,15062,4/13/2016,5/23/2016
C902218,P103662,2653,3/21/2015,5/23/2016
C902219,P100872,933,12/29/2015,5/23/2016
C902220,P103757,5976,6/21/2015,5/23/2016
C902221,P100775,9804,7/30/2014,5/24/2016
C902222,P101367,6476,1/31/2016,5/24/2016
C902223,P104701,473,10/24/2015,5/24/2016
C902224,P100155,2408,2/23/2015,5/24/2016
C902225,P103325,6888,5/10/2015,5/24/2016
C902226,P104550,2387,3/15/2016,5/24/2016
C902227,P101060,1940,11/16/2015,5/24/2016
C902228,P101209,1761,1/27/2016,5/25/2016
C902229,P100114,6377,3/24/2015,5/25/2016
C902230,P105595,1491,3/18/2016,5/25/2016
C902231,P104783,2749,9/22/2015,5/25/2016
C902232,P102688,1127,3/3/2016,5/25/2016
C902233,P100328,8865,9/17/2015,5/25/2016
C902234,P103625,2238,1/3/2016,5/25/2016
C902235,P101386,13082,9/20/2015,5/26/2016
C902236,P104229,3868,9/9/2015,5/26/2016
C902237,P104442,8893,8/6/2015,5/27/2016
C902238,P107018,18948,5/27/2016,5/27/2016
C902239,P100322,424,9/17/2015,5/27/2016
C902240,P102213,14402,1/9/2016,5/28/2016
C902241,P106763,1197,5/14/2016,5/28/2016
C902242,P104130,84,2/9/2016,5/28/2016
C902243,P100285,5145,6/17/2015,5/28/2016
C902244,P100184,21886,1/2/2016,5/28/2016
C902245,P103006,2156,3/28/2016,5/28/2016
C902246,P102469,2713,9/13/2015,5/28/2016
C902247,P104530,834,1/24/2015,5/28/2016
C902248,P106142,6866,5/16/2016,5/29/2016
C902249,P102622,3009,12/23/2014,5/29/2016
C902250,P105999,4285,5/27/2016,5/29/2016
C902251,P103956,1722,3/21/2015,5/29/2016
C902252,P105922,3368,2/15/2016,5/30/2016
C902253,P101378,1705,1/14/2015,5/30/2016
C902254,P104000,539,12/26/2015,5/30/2016
C902255,P102668,5319,7/18/2015,5/30/2016
C902256,P102168,10009,4/10/2016,5/31/2016
C902257,P104877,3752,2/6/2016,5/31/2016
C902258,P101595,12118,3/18/2016,5/31/2016
C902259,P106153,18,4/12/2016,6/1/2016
C902260,P100922,3928,8/28/2015,6/1/2016
C902261,P100407,20805,11/11/2015,6/1/2016
C902262,P104459,15418,9/6/2015,6/1/2016
C902263,P102706,3247,10/31/2015,6/2/2016
C902264,P101204,2845,3/27/2016,6/2/2016
C902265,P100704,1133,6/26/2014,6/2/2016
C902266,P104893,2859,2/10/2016,6/2/2016
C902267,P105195,741,11/27/2015,6/2/2016
C902268,P103514,2460,2/20/2015,6/3/2016
C902269,P105315,1078,1/1/2016,6/3/2016
C902270,P103550,4698,7/19/2015,6/3/2016
C902271,P101176,3473,6/14/2015,6/3/2016
C902272,P106143,4463,5/7/2016,6/3/2016
C902273,P103576,4137,7/22/2015,6/3/2016
C902274,P103008,3212,10/1/2014,6/3/2016
C902275,P105138,658,5/24/2016,6/4/2016
C902276,P102713,1758,5/16/2016,6/4/2016
C902277,P104209,654,4/3/2015,6/4/2016
C902278,P103305,11455,11/8/2015,6/4/2016
C902279,P103875,13257,3/17/2016,6/5/2016
C902280,P104734,15988,4/29/2016,6/5/2016
C902281,P104887,1992,4/28/2016,6/5/2016
C902282,P101065,6580,10/21/2014,6/6/2016
C902283,P101998,9883,9/20/2014,6/6/2016
C902284,P104673,1875,11/16/2015,6/6/2016
C902285,P102975,7440,4/3/2016,6/6/2016
C902286,P106417,13412,1/22/2016,6/6/2016
C902287,P106027,6577,4/19/2016,6/6/2016
C902288,P103316,11752,2/4/2016,6/6/2016
C902289,P100710,2459,4/25/2016,6/6/2016
C902290,P102859,11493,5/20/2016,6/7/2016
C902291,P101912,3560,12/5/2015,6/7/2016
C902292,P103517,841,1/21/2015,6/8/2016
C902293,P106574,854,3/4/2016,6/8/2016
C902294,P105178,9274,11/3/2015,6/8/2016
C902295,P101531,2620,3/4/2016,6/8/2016
C902296,P103801,18,6/4/2016,6/9/2016
C902297,P101329,3241,12/7/2014,6/9/2016
C902298,P105698,15427,10/11/2015,6/9/2016
C902299,P100827,695,5/1/2016,6/9/2016
C902300,P105181,9676,2/1/2016,6/9/2016
C902301,P100153,1203,12/12/2015,6/9/2016
C902302,P104903,4347,5/10/2016,6/9/2016
C902303,P100756,14538,7/31/2015,6/10/2016
C902304,P106194,8894,3/27/2016,6/10/2016
C902305,P104072,11342,2/7/2016,6/10/2016
C902306,P101091,3684,4/7/2015,6/10/2016
C902307,P102811,5151,8/25/2015,6/10/2016
C902308,P101288,4538,3/28/2016,6/10/2016
C902309,P104159,867,7/9/2015,6/11/2016
C902310,P100933,1048,7/17/2015,6/11/2016
C902311,P101510,12366,9/10/2015,6/11/2016
C902312,P104991,694,7/4/2015,6/11/2016
C902313,P101632,185,10/18/2014,6/12/2016
C902314,P101631,2546,8/18/2015,6/12/2016
C902315,P100551,6730,5/20/2015,6/12/2016
C902316,P104366,228,2/14/2016,6/12/2016
C902317,P105439,1143,2/13/2016,6/12/2016
C902318,P102601,2320,9/26/2014,6/12/2016
C902319,P106277,11159,6/9/2016,6/12/2016
C902320,P106003,7176,2/26/2016,6/13/2016
C902321,P105132,5405,3/5/2016,6/13/2016
C902322,P105996,831,11/20/2015,6/13/2016
C902323,P102839,1691,2/22/2016,6/13/2016
C902324,P105970,4455,4/13/2016,6/13/2016
C902325,P102845,22431,5/10/2015,6/13/2016
C902326,P106885,3379,5/21/2016,6/14/2016
C902327,P101901,2801,12/18/2014,6/14/2016
C902328,P105282,3234,5/21/2016,6/15/2016
C902329,P104812,364,9/11/2015,6/15/2016
C902330,P101630,119,4/12/2016,6/15/2016
C902331,P105385,1522,3/23/2016,6/15/2016
C902332,P105663,1661,9/28/2015,6/16/2016
C902333,P100154,5443,3/12/2014,6/16/2016
C902334,P105849,575,5/4/2016,6/16/2016
C902335,P102284,8743,4/1/2015,6/17/2016
C902336,P104874,35,12/25/2015,6/17/2016
C902337,P106592,777,3/5/2016,6/17/2016
C902338,P106033,1482,6/15/2016,6/17/2016
C902339,P102662,1210,6/30/2015,6/18/2016
C902340,P100200,6642,2/18/2016,6/18/2016
C902341,P100851,1985,4/6/2016,6/18/2016
C902342,P102968,583,12/6/2015,6/18/2016
C902343,P100776,10868,6/20/2015,6/18/2016
C902344,P101879,2406,3/8/2015,6/18/2016
C902345,P104509,24085,12/18/2015,6/19/2016
C902346,P106189,1886,12/6/2015,6/20/2016
C902347,P102001,1434,1/30/2016,6/20/2016
C902348,P100666,15533,5/29/2016,6/20/2016
C902349,P103316,10995,6/17/2016,6/20/2016
C902350,P102267,9936,6/28/2015,6/21/2016
C902351,P100122,2303,5/11/2016,6/21/2016
C902352,P102554,20586,11/8/2015,6/21/2016
C902353,P102968,7997,8/29/2015,6/21/2016
C902354,P100428,4998,12/19/2015,6/21/2016
C902355,P102395,15151,12/8/2015,6/21/2016
C902356,P101641,2942,9/8/2014,6/21/2016
C902357,P103358,10826,11/29/2015,6/22/2016
C902358,P102757,14486,5/5/2015,6/22/2016
C902359,P101977,919,1/22/2016,6/22/2016
C902360,P104139,14092,6/10/2015,6/22/2016
C902361,P101446,14729,7/30/2015,6/23/2016
C902362,P100183,850,4/2/2015,6/23/2016
C902363,P104574,10820,2/17/2016,6/23/2016
C902364,P101703,2630,12/23/2015,6/23/2016
C902365,P103234,550,4/6/2015,6/24/2016
C902366,P104994,1604,3/27/2016,6/24/2016
C902367,P103311,1006,11/13/2014,6/24/2016
C902368,P104447,358,3/18/2016,6/24/2016
C902369,P106042,413,4/23/2016,6/24/2016
C902370,P101896,6488,1/10/2015,6/24/2016
C902371,P104016,2915,3/18/2016,6/24/2016
C902372,P103562,2019,3/4/2015,6/25/2016
C902373,P100689,498,3/25/2014,6/25/2016
C902374,P100239,6319,4/21/2016,6/25/2016
C902375,P102317,490,3/23/2016,6/25/2016
C902376,P100395,3074,6/6/2016,6/25/2016
C902377,P103961,15301,11/16/2015,6/25/2016
C902378,P104930,10974,11/27/2015,6/25/2016
C902379,P104263,10715,10/14/2015,6/25/2016
C902380,P106234,7933,10/30/2015,6/26/2016
C902381,P106971,6712,3/17/2016,6/26/2016
C902382,P105220,7201,1/4/2016,6/26/2016
C902383,P102916,2003,7/4/2015,6/26/2016
C902384,P105157,5178,6/22/2016,6/26/2016
C902385,P103138,3041,8/19/2015,6/26/2016
C902386,P106370,2405,2/2/2016,6/26/2016
C902387,P102142,4487,11/29/2015,6/26/2016
C902388,P106588,16748,6/12/2016,6/27/2016
C902389,P100438,5362,1/24/2016,6/27/2016
C902390,P104619,7209,6/18/2016,6/27/2016
C902391,P104568,3066,2/12/2016,6/27/2016
C902392,P105702,1272,11/10/2015,6/27/2016
C902393,P100453,21071,10/2/2015,6/28/2016
C902394,P100666,2556,12/16/2015,6/28/2016
C902395,P101830,3236,3/15/2016,6/28/2016
C902396,P105192,2894,11/4/2015,6/28/2016
C902397,P106085,71,2/23/2016,6/29/2016
C902398,P105601,3017,2/14/2016,6/29/2016
C902399,P104808,1732,1/29/2015,6/29/2016
C902400,P102597,11538,10/11/2015,6/30/2016
C902401,P102906,5582,11/12/2014,6/30/2016
C902402,P102275,2279,5/12/2016,6/30/2016
C902403,P101869,904,11/16/2015,6/30/2016
C902404,P106695,1741,4/21/2016,6/30/2016
C902405,P101026,522,1/14/2015,6/30/2016
C902406,P101361,2543,4/11/2016,6/30/2016
C902407,P101650,6087,3/24/2016,7/1/2016
C902408,P100009,1591,11/2/2014,7/1/2016
C902409,P101316,7522,11/11/2014,7/1/2016
C902410,P105908,146,4/26/2016,7/1/2016
C902411,P104194,1985,3/7/2015,7/1/2016
C902412,P101042,7303,4/24/2015,7/1/2016
C902413,P100817,464,4/16/2016,7/2/2016
C902414,P100404,1378,7/31/2014,7/2/2016
C902415,P101600,3230,4/3/2015,7/2/2016
C902416,P100702,14214,4/14/2016,7/2/2016
C902417,P100066,6592,9/22/2015,7/2/2016
C902418,P105367,2342,6/28/2016,7/2/2016
C902419,P101297,2174,11/26/2015,7/3/2016
C902420,P102246,1496,5/20/2015,7/3/2016
C902421,P100051,5213,4/29/2015,7/3/2016
C902422,P104422,7979,11/20/2015,7/4/2016
