PolicyNumber,PolicyStartDate,DrivingFrequency,County
P101837,5/21/2014,Medium,Riverside
P101838,5/21/2014,Medium,San Bernadino
P101839,5/21/2014,High,Los Angeles
P101840,5/21/2014,Low,Riverside
P101841,5/21/2014,High,Ventura
P101842,5/21/2014,Low,San Bernadino
P101843,5/21/2014,Low,Riverside
P101844,5/22/2014,High,Los Angeles
P101845,5/22/2014,Low,Riverside
P101846,5/22/2014,Low,San Bernadino
P101847,5/22/2014,Low,Ventura
P101848,5/22/2014,Medium,Ventura
P101849,5/22/2014,High,Riverside
P101850,5/22/2014,Medium,Orange
P101851,5/22/2014,Medium,Riverside
P101852,5/22/2014,High,Los Angeles
P101853,5/22/2014,Medium,San Bernadino
P101854,5/22/2014,High,Los Angeles
P101855,5/22/2014,Low,Riverside
P101856,5/22/2014,High,Los Angeles
P101857,5/23/2014,High,Riverside
P101858,5/23/2014,Low,Orange
P101859,5/23/2014,Low,Ventura
P101860,5/23/2014,Low,Orange
P101861,5/23/2014,Medium,San Bernadino
P101862,5/23/2014,Low,Riverside
P101863,5/23/2014,High,Los Angeles
P101864,5/23/2014,Medium,Ventura
P101865,5/23/2014,High,Los Angeles
P101866,5/23/2014,Medium,Ventura
P101867,5/23/2014,Medium,Riverside
P101868,5/23/2014,High,San Bernadino
P101869,5/23/2014,High,Los Angeles
P101870,5/23/2014,Medium,Orange
P101871,5/23/2014,Medium,San Bernadino
P101872,5/23/2014,Low,Orange
P101873,5/23/2014,Medium,Los Angeles
P101874,5/23/2014,High,San Bernadino
P101875,5/24/2014,Medium,Orange
P101876,5/24/2014,Medium,San Bernadino
P101877,5/24/2014,Medium,Riverside
P101878,5/24/2014,Low,Los Angeles
P101879,5/24/2014,Medium,Orange
P101880,5/24/2014,Medium,Ventura
P101881,5/24/2014,Medium,Orange
P101882,5/24/2014,Medium,Ventura
P101883,5/24/2014,Low,Riverside
P101884,5/24/2014,Medium,Los Angeles
P101885,5/24/2014,Medium,Ventura
P101886,5/24/2014,Medium,San Bernadino
P101887,5/24/2014,High,San Bernadino
P101888,5/24/2014,High,Orange
P101889,5/25/2014,Low,Los Angeles
P101890,5/25/2014,High,Ventura
P101891,5/25/2014,Medium,Ventura
P101892,5/25/2014,Medium,Los Angeles
P101893,5/25/2014,High,Ventura
P101894,5/25/2014,Medium,Ventura
P101895,5/25/2014,High,Orange
P101896,5/25/2014,High,San Bernadino
P101897,5/25/2014,Medium,San Bernadino
P101898,5/25/2014,High,Ventura
P101899,5/26/2014,High,San Bernadino
P101900,5/26/2014,Medium,San Bernadino
P101901,5/26/2014,High,San Bernadino
P101902,5/26/2014,High,Orange
P101903,5/26/2014,Medium,Ventura
P101904,5/26/2014,High,Ventura
P101905,5/26/2014,Low,Ventura
P101906,5/26/2014,High,Riverside
P101907,5/26/2014,Medium,Ventura
P101908,5/26/2014,Low,Riverside
P101909,5/26/2014,High,Los Angeles
P101910,5/26/2014,High,Ventura
P101911,5/26/2014,High,San Bernadino
P101912,5/26/2014,High,Orange
P101913,5/27/2014,High,Ventura
P101914,5/27/2014,Medium,Los Angeles
P101915,5/27/2014,Medium,Orange
P101916,5/27/2014,Low,Los Angeles
P101917,5/27/2014,High,Los Angeles
P101918,5/27/2014,High,Riverside
P101919,5/27/2014,High,Ventura
P101920,5/27/2014,High,Ventura
P101921,5/27/2014,High,Riverside
P101922,5/27/2014,High,Riverside
P101923,5/27/2014,High,Orange
P101924,5/27/2014,Low,Los Angeles
P101925,5/27/2014,Low,Los Angeles
P101926,5/27/2014,High,San Bernadino
P101927,5/28/2014,Low,Ventura
P101928,5/28/2014,Low,Ventura
P101929,5/28/2014,Low,Riverside
P101930,5/28/2014,Low,Orange
P101931,5/28/2014,Low,San Bernadino
P101932,5/28/2014,High,Riverside
P101933,5/28/2014,Medium,Riverside
P101934,5/28/2014,High,Riverside
P101935,5/28/2014,High,Ventura
P101936,5/28/2014,High,Orange
P101937,5/28/2014,Low,Los Angeles
P101938,5/28/2014,Low,Ventura
P101939,5/28/2014,High,Los Angeles
P101940,5/28/2014,High,San Bernadino
P101941,5/28/2014,Low,Los Angeles
P101942,5/28/2014,Medium,Los Angeles
P101943,5/28/2014,Low,Los Angeles
P101944,5/29/2014,High,San Bernadino
P101945,5/29/2014,Medium,Ventura
P101946,5/29/2014,Low,San Bernadino
P101947,5/29/2014,Medium,Los Angeles
P101948,5/29/2014,High,San Bernadino
P101949,5/29/2014,Medium,San Bernadino
P101950,5/29/2014,Medium,Riverside
P101951,5/29/2014,Low,Ventura
P101952,5/30/2014,High,San Bernadino
P101953,5/30/2014,High,Riverside
P101954,5/30/2014,High,Ventura
P101955,5/30/2014,High,Los Angeles
P101956,5/30/2014,Medium,Los Angeles
P101957,5/30/2014,High,Riverside
P101958,5/30/2014,High,Orange
P101959,5/30/2014,Medium,Ventura
P101960,5/31/2014,Low,Ventura
P101961,5/31/2014,Low,San Bernadino
P101962,5/31/2014,High,San Bernadino
P101963,5/31/2014,Medium,Ventura
P101964,5/31/2014,Low,Ventura
P101965,5/31/2014,Medium,Los Angeles
P101966,5/31/2014,Low,Riverside
P101967,5/31/2014,Low,Ventura
P101968,6/1/2014,Low,Los Angeles
P101969,6/1/2014,Low,Orange
P101970,6/1/2014,Low,Los Angeles
P101971,6/1/2014,Medium,Ventura
P101972,6/1/2014,Medium,San Bernadino
P101973,6/1/2014,Medium,San Bernadino
P101974,6/1/2014,Low,San Bernadino
P101975,6/1/2014,High,Los Angeles
P101976,6/1/2014,Medium,Orange
P101977,6/1/2014,Medium,Los Angeles
P101978,6/1/2014,High,Orange
P101979,6/1/2014,Medium,Ventura
P101980,6/1/2014,Low,Riverside
P101981,6/1/2014,Medium,San Bernadino
P101982,6/2/2014,Low,Los Angeles
P101983,6/2/2014,High,Riverside
P101984,6/2/2014,High,Los Angeles
P101985,6/2/2014,Low,Los Angeles
P101986,6/2/2014,Low,Los Angeles
P101987,6/2/2014,Medium,San Bernadino
P101988,6/2/2014,High,Los Angeles
P101989,6/2/2014,High,Ventura
P101990,6/2/2014,Low,Ventura
P101991,6/2/2014,High,Riverside
P101992,6/2/2014,Low,San Bernadino
P101993,6/2/2014,Medium,Los Angeles
P101994,6/2/2014,Low,Riverside
P101995,6/2/2014,High,San Bernadino
P101996,6/2/2014,High,Los Angeles
P101997,6/2/2014,High,Ventura
P101998,6/2/2014,Medium,Los Angeles
P101999,6/2/2014,High,San Bernadino
P102000,6/2/2014,Medium,San Bernadino
P102001,6/2/2014,High,San Bernadino
P102002,6/3/2014,Medium,Orange
P102003,6/3/2014,High,Riverside
P102004,6/3/2014,Medium,Ventura
P102005,6/3/2014,High,Ventura
P102006,6/3/2014,Low,San Bernadino
P102007,6/3/2014,Medium,Ventura
P102008,6/3/2014,Medium,Orange
P102009,6/3/2014,High,Ventura
P102010,6/3/2014,High,Orange
P102011,6/3/2014,Low,Orange
P102012,6/3/2014,Medium,Los Angeles
P102013,6/3/2014,Medium,Los Angeles
P102014,6/3/2014,Medium,Riverside
P102015,6/3/2014,High,San Bernadino
P102016,6/3/2014,Low,San Bernadino
P102017,6/3/2014,Low,Ventura
P102018,6/4/2014,High,Los Angeles
P102019,6/4/2014,High,Los Angeles
P102020,6/4/2014,High,Los Angeles
P102021,6/4/2014,Low,Ventura
P102022,6/4/2014,High,Ventura
P102023,6/4/2014,Low,Ventura
P102024,6/4/2014,Low,Riverside
P102025,6/4/2014,Medium,San Bernadino
P102026,6/4/2014,High,Los Angeles
P102027,6/4/2014,High,San Bernadino
P102028,6/4/2014,High,San Bernadino
P102029,6/4/2014,High,Los Angeles
P102030,6/4/2014,Low,San Bernadino
P102031,6/4/2014,High,Los Angeles
P102032,6/4/2014,Low,Ventura
P102033,6/5/2014,High,San Bernadino
P102034,6/5/2014,High,Los Angeles
P102035,6/5/2014,High,Los Angeles
P102036,6/5/2014,High,Ventura
P102037,6/5/2014,Low,Los Angeles
P102038,6/5/2014,Low,Ventura
P102039,6/5/2014,Low,Los Angeles
P102040,6/5/2014,Medium,Los Angeles
P102041,6/5/2014,Medium,Los Angeles
P102042,6/5/2014,High,Orange
P102043,6/5/2014,Low,Los Angeles
P102044,6/6/2014,Low,Orange
P102045,6/6/2014,Medium,Ventura
P102046,6/6/2014,Low,Los Angeles
P102047,6/6/2014,Low,Los Angeles
P102048,6/6/2014,Low,Riverside
P102049,6/6/2014,Medium,Ventura
P102050,6/6/2014,Medium,San Bernadino
P102051,6/6/2014,Medium,Orange
P102052,6/6/2014,High,Riverside
P102053,6/6/2014,Low,San Bernadino
P102054,6/6/2014,Medium,Riverside
P102055,6/6/2014,High,Orange
P102056,6/6/2014,Low,Riverside
P102057,6/7/2014,Low,Los Angeles
P102058,6/7/2014,High,Los Angeles
P102059,6/7/2014,Medium,San Bernadino
P102060,6/7/2014,Medium,Los Angeles
P102061,6/7/2014,Medium,Los Angeles
P102062,6/7/2014,Low,Los Angeles
P102063,6/7/2014,Low,Orange
P102064,6/7/2014,Medium,Los Angeles
P102065,6/7/2014,Medium,San Bernadino
P102066,6/7/2014,High,Ventura
P102067,6/7/2014,Medium,Riverside
P102068,6/7/2014,Low,Riverside
P102069,6/7/2014,High,Orange
P102070,6/7/2014,Medium,Ventura
P102071,6/7/2014,High,Los Angeles
P102072,6/8/2014,High,Los Angeles
P102073,6/8/2014,High,Los Angeles
P102074,6/8/2014,Medium,Riverside
P102075,6/8/2014,High,San Bernadino
P102076,6/8/2014,Medium,San Bernadino
P102077,6/8/2014,Medium,Orange
P102078,6/8/2014,Medium,Ventura
P102079,6/8/2014,Low,Riverside
P102080,6/8/2014,Medium,Riverside
P102081,6/8/2014,High,Los Angeles
P102082,6/8/2014,High,Ventura
P102083,6/8/2014,High,San Bernadino
P102084,6/9/2014,Low,Ventura
P102085,6/9/2014,Low,Orange
P102086,6/9/2014,High,San Bernadino
P102087,6/9/2014,Low,Orange
P102088,6/9/2014,Low,Ventura
P102089,6/9/2014,High,Ventura
P102090,6/9/2014,High,Ventura
P102091,6/9/2014,High,Los Angeles
P102092,6/9/2014,High,San Bernadino
P102093,6/9/2014,Low,San Bernadino
P102094,6/9/2014,High,San Bernadino
P102095,6/9/2014,Low,Los Angeles
P102096,6/9/2014,Low,Riverside
P102097,6/9/2014,Medium,San Bernadino
P102098,6/9/2014,Medium,San Bernadino
P102099,6/9/2014,Low,Ventura
P102100,6/9/2014,Medium,Riverside
P102101,6/9/2014,Medium,San Bernadino
P102102,6/9/2014,High,Los Angeles
P102103,6/9/2014,Low,San Bernadino
P102104,6/10/2014,Low,Riverside
P102105,6/10/2014,Low,Orange
P102106,6/10/2014,High,Riverside
P102107,6/10/2014,High,Los Angeles
P102108,6/10/2014,Low,Riverside
P102109,6/10/2014,Medium,Ventura
P102110,6/10/2014,High,Los Angeles
P102111,6/10/2014,Low,San Bernadino
P102112,6/10/2014,Medium,Riverside
P102113,6/10/2014,High,Orange
P102114,6/10/2014,High,Los Angeles
P102115,6/11/2014,High,Ventura
P102116,6/11/2014,Low,Riverside
P102117,6/11/2014,Medium,Los Angeles
P102118,6/11/2014,Low,Los Angeles
P102119,6/11/2014,Low,Orange
P102120,6/11/2014,Low,Ventura
P102121,6/11/2014,High,San Bernadino
P102122,6/11/2014,High,Riverside
P102123,6/11/2014,Low,Orange
P102124,6/11/2014,Medium,Los Angeles
P102125,6/11/2014,High,Ventura
P102126,6/11/2014,Medium,San Bernadino
P102127,6/11/2014,Low,San Bernadino
P102128,6/11/2014,Low,Riverside
P102129,6/11/2014,Medium,Los Angeles
P102130,6/12/2014,Low,Los Angeles
P102131,6/12/2014,Medium,Los Angeles
P102132,6/12/2014,High,San Bernadino
P102133,6/12/2014,High,Orange
P102134,6/12/2014,Medium,Los Angeles
P102135,6/12/2014,High,Los Angeles
P102136,6/12/2014,Low,Los Angeles
P102137,6/12/2014,Low,San Bernadino
P102138,6/12/2014,High,San Bernadino
P102139,6/12/2014,High,Los Angeles
P102140,6/12/2014,Low,San Bernadino
P102141,6/12/2014,Medium,Riverside
P102142,6/12/2014,Low,Ventura
P102143,6/12/2014,Medium,Los Angeles
P102144,6/12/2014,High,Los Angeles
P102145,6/12/2014,Low,Los Angeles
P102146,6/13/2014,High,Los Angeles
P102147,6/13/2014,High,Riverside
P102148,6/13/2014,High,Riverside
P102149,6/13/2014,High,Los Angeles
P102150,6/13/2014,High,Orange
P102151,6/13/2014,High,San Bernadino
P102152,6/13/2014,Low,Los Angeles
P102153,6/13/2014,Medium,Riverside
P102154,6/13/2014,Low,Ventura
P102155,6/13/2014,Medium,San Bernadino
P102156,6/13/2014,Low,Orange
P102157,6/13/2014,High,Los Angeles
P102158,6/13/2014,High,Riverside
P102159,6/13/2014,Low,Ventura
P102160,6/13/2014,High,Riverside
P102161,6/13/2014,Medium,Orange
P102162,6/13/2014,High,Riverside
P102163,6/13/2014,High,San Bernadino
P102164,6/13/2014,Medium,Ventura
P102165,6/13/2014,Low,San Bernadino
P102166,6/13/2014,Low,Los Angeles
P102167,6/13/2014,Medium,Riverside
P102168,6/13/2014,Low,Ventura
P102169,6/13/2014,Low,Los Angeles
P102170,6/14/2014,Medium,Los Angeles
P102171,6/14/2014,Medium,San Bernadino
P102172,6/14/2014,Medium,Orange
P102173,6/14/2014,Low,Riverside
P102174,6/14/2014,High,Los Angeles
P102175,6/14/2014,High,San Bernadino
P102176,6/14/2014,Low,Riverside
P102177,6/14/2014,High,Los Angeles
P102178,6/14/2014,High,Ventura
P102179,6/15/2014,High,Los Angeles
P102180,6/15/2014,High,Los Angeles
P102181,6/15/2014,Medium,Ventura
P102182,6/15/2014,High,Los Angeles
P102183,6/15/2014,Medium,San Bernadino
P102184,6/15/2014,High,San Bernadino
P102185,6/15/2014,Medium,Los Angeles
P102186,6/15/2014,Medium,San Bernadino
P102187,6/15/2014,Medium,Los Angeles
P102188,6/16/2014,High,San Bernadino
P102189,6/16/2014,Medium,San Bernadino
P102190,6/16/2014,Medium,San Bernadino
P102191,6/16/2014,High,Riverside
P102192,6/16/2014,Low,Los Angeles
P102193,6/16/2014,Medium,Los Angeles
P102194,6/16/2014,High,Los Angeles
P102195,6/16/2014,High,Riverside
P102196,6/16/2014,High,San Bernadino
P102197,6/16/2014,Low,San Bernadino
P102198,6/16/2014,High,Los Angeles
P102199,6/16/2014,High,Los Angeles
P102200,6/16/2014,Medium,San Bernadino
P102201,6/16/2014,Low,San Bernadino
P102202,6/16/2014,Medium,Los Angeles
P102203,6/16/2014,High,Ventura
P102204,6/16/2014,Medium,San Bernadino
P102205,6/17/2014,Medium,Ventura
P102206,6/17/2014,Low,Los Angeles
P102207,6/17/2014,High,Riverside
P102208,6/17/2014,Medium,Riverside
P102209,6/17/2014,Medium,Orange
P102210,6/17/2014,Medium,Los Angeles
P102211,6/17/2014,High,Riverside
P102212,6/17/2014,Low,Ventura
P102213,6/17/2014,High,San Bernadino
P102214,6/17/2014,Medium,Los Angeles
P102215,6/17/2014,Medium,Los Angeles
P102216,6/18/2014,Low,San Bernadino
P102217,6/18/2014,Low,Ventura
P102218,6/18/2014,High,Los Angeles
P102219,6/18/2014,Medium,Los Angeles
P102220,6/18/2014,Low,Los Angeles
P102221,6/18/2014,Low,Riverside
P102222,6/18/2014,Medium,San Bernadino
P102223,6/18/2014,Medium,Riverside
P102224,6/18/2014,Medium,Orange
P102225,6/18/2014,Medium,Orange
P102226,6/18/2014,High,Los Angeles
P102227,6/18/2014,High,Los Angeles
P102228,6/19/2014,Medium,Riverside
P102229,6/19/2014,Medium,Riverside
P102230,6/19/2014,Medium,Riverside
P102231,6/19/2014,High,Los Angeles
P102232,6/19/2014,Medium,San Bernadino
P102233,6/19/2014,Medium,San Bernadino
P102234,6/19/2014,High,Riverside
P102235,6/19/2014,High,Ventura
P102236,6/19/2014,Low,San Bernadino
P102237,6/19/2014,Medium,San Bernadino
P102238,6/20/2014,Medium,Los Angeles
P102239,6/20/2014,Medium,San Bernadino
P102240,6/20/2014,Medium,Riverside
P102241,6/20/2014,High,Riverside
P102242,6/20/2014,High,Orange
P102243,6/20/2014,High,Riverside
P102244,6/20/2014,High,San Bernadino
P102245,6/21/2014,Low,Los Angeles
P102246,6/21/2014,Medium,Los Angeles
P102247,6/21/2014,Medium,Orange
P102248,6/21/2014,Low,San Bernadino
P102249,6/21/2014,Low,Ventura
P102250,6/21/2014,High,Riverside
P102251,6/21/2014,Low,Orange
P102252,6/21/2014,High,San Bernadino
P102253,6/21/2014,Medium,Riverside
P102254,6/21/2014,Medium,Orange
P102255,6/21/2014,Low,Riverside
P102256,6/21/2014,Low,Ventura
P102257,6/21/2014,Medium,Ventura
P102258,6/21/2014,High,Los Angeles
P102259,6/21/2014,Medium,Orange
P102260,6/21/2014,High,Orange
P102261,6/22/2014,Low,Orange
P102262,6/22/2014,Medium,Ventura
P102263,6/22/2014,High,Riverside
P102264,6/22/2014,High,Ventura
P102265,6/22/2014,Medium,Orange
P102266,6/22/2014,Low,Riverside
P102267,6/22/2014,High,Riverside
P102268,6/22/2014,Low,San Bernadino
P102269,6/22/2014,Medium,Ventura
P102270,6/22/2014,Medium,Riverside
P102271,6/22/2014,Low,Ventura
P102272,6/22/2014,Medium,Riverside
P102273,6/22/2014,High,Ventura
P102274,6/22/2014,Low,Los Angeles
P102275,6/22/2014,High,Riverside
P102276,6/23/2014,High,San Bernadino
P102277,6/23/2014,Low,San Bernadino
P102278,6/23/2014,High,Riverside
P102279,6/23/2014,Low,Los Angeles
P102280,6/23/2014,High,Riverside
P102281,6/23/2014,Medium,Riverside
P102282,6/23/2014,Low,San Bernadino
P102283,6/23/2014,Low,Los Angeles
P102284,6/23/2014,High,Los Angeles
P102285,6/23/2014,High,Orange
P102286,6/23/2014,Medium,Riverside
P102287,6/23/2014,High,Riverside
P102288,6/23/2014,Low,Ventura
P102289,6/23/2014,High,Los Angeles
P102290,6/23/2014,Medium,Orange
P102291,6/24/2014,Medium,San Bernadino
P102292,6/24/2014,Low,Ventura
P102293,6/24/2014,High,Los Angeles
P102294,6/24/2014,Low,Los Angeles
P102295,6/24/2014,Medium,Ventura
P102296,6/24/2014,Medium,Riverside
P102297,6/24/2014,Medium,Riverside
P102298,6/24/2014,Low,Los Angeles
P102299,6/24/2014,High,San Bernadino
P102300,6/24/2014,High,Ventura
P102301,6/24/2014,High,Los Angeles
P102302,6/24/2014,Low,Riverside
P102303,6/24/2014,Medium,Ventura
P102304,6/24/2014,Low,Riverside
P102305,6/25/2014,High,Los Angeles
P102306,6/25/2014,High,Orange
P102307,6/25/2014,High,Ventura
P102308,6/25/2014,High,Los Angeles
P102309,6/25/2014,High,Ventura
P102310,6/25/2014,High,Ventura
P102311,6/25/2014,High,Los Angeles
P102312,6/25/2014,High,Ventura
P102313,6/25/2014,Low,Ventura
P102314,6/26/2014,High,Orange
P102315,6/26/2014,High,Orange
P102316,6/26/2014,Low,Los Angeles
P102317,6/26/2014,High,Los Angeles
P102318,6/26/2014,Low,Ventura
P102319,6/26/2014,Medium,Ventura
P102320,6/26/2014,Medium,Ventura
P102321,6/26/2014,Low,Ventura
P102322,6/26/2014,Low,Los Angeles
P102323,6/26/2014,Low,Orange
P102324,6/26/2014,Medium,Riverside
P102325,6/26/2014,High,Ventura
P102326,6/27/2014,High,Los Angeles
P102327,6/27/2014,Medium,Los Angeles
P102328,6/27/2014,Medium,Ventura
P102329,6/27/2014,Medium,Ventura
P102330,6/27/2014,High,Riverside
P102331,6/27/2014,High,Los Angeles
P102332,6/27/2014,Medium,Riverside
P102333,6/27/2014,Medium,Los Angeles
P102334,6/27/2014,Medium,Orange
P102335,6/27/2014,Medium,Orange
P102336,6/27/2014,High,Los Angeles
P102337,6/28/2014,Medium,San Bernadino
P102338,6/28/2014,High,Riverside
P102339,6/28/2014,Low,Riverside
P102340,6/28/2014,Medium,Los Angeles
P102341,6/28/2014,Medium,Ventura
P102342,6/28/2014,Low,Los Angeles
P102343,6/28/2014,Medium,Orange
P102344,6/28/2014,Medium,Riverside
P102345,6/28/2014,High,Los Angeles
P102346,6/28/2014,Low,Los Angeles
P102347,6/28/2014,Low,Los Angeles
P102348,6/28/2014,Low,San Bernadino
P102349,6/28/2014,Medium,Ventura
P102350,6/28/2014,High,San Bernadino
P102351,6/28/2014,Low,San Bernadino
P102352,6/29/2014,High,Los Angeles
P102353,6/29/2014,Low,Riverside
P102354,6/29/2014,High,Ventura
P102355,6/29/2014,Medium,Riverside
P102356,6/29/2014,High,San Bernadino
P102357,6/29/2014,High,San Bernadino
P102358,6/29/2014,High,San Bernadino
P102359,6/30/2014,Medium,Orange
P102360,6/30/2014,Low,Riverside
P102361,6/30/2014,Medium,Orange
P102362,6/30/2014,Medium,Los Angeles
P102363,6/30/2014,High,Ventura
P102364,6/30/2014,High,Ventura
P102365,6/30/2014,Low,Los Angeles
P102366,6/30/2014,Low,San Bernadino
P102367,6/30/2014,Low,San Bernadino
P102368,6/30/2014,High,Ventura
P102369,6/30/2014,High,Los Angeles
P102370,6/30/2014,Medium,Los Angeles
P102371,6/30/2014,Medium,Orange
P102372,6/30/2014,Medium,Riverside
P102373,7/1/2014,Medium,Riverside
P102374,7/1/2014,Low,San Bernadino
P102375,7/1/2014,Medium,Riverside
P102376,7/1/2014,High,Ventura
P102377,7/1/2014,Low,Orange
P102378,7/1/2014,High,Riverside
P102379,7/1/2014,High,Riverside
P102380,7/1/2014,Medium,Ventura
P102381,7/1/2014,Low,Ventura
P102382,7/1/2014,Medium,Los Angeles
P102383,7/1/2014,Low,Los Angeles
P102384,7/1/2014,High,Los Angeles
P102385,7/1/2014,Low,Riverside
P102386,7/1/2014,Medium,Orange
P102387,7/1/2014,High,Los Angeles
P102388,7/1/2014,Medium,Los Angeles
P102389,7/1/2014,High,Ventura
P102390,7/1/2014,Medium,Los Angeles
P102391,7/2/2014,Low,Ventura
P102392,7/2/2014,Medium,San Bernadino
P102393,7/2/2014,High,Los Angeles
P102394,7/2/2014,Low,San Bernadino
P102395,7/2/2014,Medium,Orange
P102396,7/2/2014,High,Orange
P102397,7/2/2014,Medium,Riverside
P102398,7/2/2014,Medium,Ventura
P102399,7/2/2014,High,Ventura
P102400,7/2/2014,High,Los Angeles
P102401,7/2/2014,Medium,San Bernadino
P102402,7/2/2014,Medium,Los Angeles
P102403,7/2/2014,High,Orange
P102404,7/2/2014,Low,Los Angeles
P102405,7/2/2014,High,Ventura
P102406,7/2/2014,Low,San Bernadino
P102407,7/2/2014,Low,Ventura
P102408,7/2/2014,Medium,Riverside
P102409,7/2/2014,Low,Los Angeles
P102410,7/2/2014,High,Los Angeles
P102411,7/2/2014,High,Ventura
P102412,7/2/2014,Medium,Ventura
P102413,7/3/2014,Low,San Bernadino
P102414,7/3/2014,High,Ventura
P102415,7/3/2014,Medium,Orange
P102416,7/3/2014,Low,Los Angeles
P102417,7/3/2014,High,San Bernadino
P102418,7/3/2014,Low,Riverside
P102419,7/3/2014,Medium,Riverside
P102420,7/3/2014,High,Riverside
P102421,7/3/2014,Medium,San Bernadino
P102422,7/3/2014,Medium,Ventura
P102423,7/3/2014,Medium,San Bernadino
P102424,7/3/2014,High,Los Angeles
P102425,7/3/2014,Low,Los Angeles
P102426,7/4/2014,Low,San Bernadino
P102427,7/4/2014,Low,Riverside
P102428,7/4/2014,Low,Los Angeles
P102429,7/4/2014,High,Orange
P102430,7/4/2014,High,Orange
P102431,7/4/2014,Medium,Los Angeles
P102432,7/4/2014,Medium,Ventura
P102433,7/4/2014,High,Ventura
P102434,7/4/2014,Medium,Riverside
P102435,7/4/2014,Medium,Ventura
P102436,7/4/2014,Medium,Orange
P102437,7/4/2014,High,Los Angeles
P102438,7/4/2014,Low,Ventura
P102439,7/4/2014,Low,San Bernadino
P102440,7/4/2014,Medium,Ventura
P102441,7/4/2014,Medium,Ventura
P102442,7/4/2014,Medium,Orange
P102443,7/4/2014,High,Orange
P102444,7/5/2014,Low,San Bernadino
P102445,7/5/2014,High,San Bernadino
P102446,7/5/2014,High,Ventura
P102447,7/5/2014,Medium,Los Angeles
P102448,7/5/2014,Medium,Riverside
P102449,7/5/2014,Medium,Ventura
P102450,7/5/2014,High,Los Angeles
P102451,7/5/2014,Medium,Riverside
P102452,7/5/2014,Low,Orange
P102453,7/5/2014,High,Orange
P102454,7/5/2014,Low,Los Angeles
P102455,7/5/2014,Low,Ventura
P102456,7/5/2014,Low,Riverside
P102457,7/5/2014,Low,Los Angeles
P102458,7/6/2014,Medium,Riverside
P102459,7/6/2014,Medium,Ventura
P102460,7/6/2014,Low,Los Angeles
P102461,7/6/2014,Medium,Los Angeles
P102462,7/6/2014,High,Los Angeles
P102463,7/6/2014,High,Ventura
P102464,7/6/2014,High,Riverside
P102465,7/6/2014,High,Los Angeles
P102466,7/6/2014,Medium,Los Angeles
P102467,7/6/2014,High,Orange
P102468,7/6/2014,Low,Riverside
P102469,7/7/2014,Low,San Bernadino
P102470,7/7/2014,Low,San Bernadino
P102471,7/7/2014,Medium,Los Angeles
P102472,7/7/2014,Low,Orange
P102473,7/7/2014,Low,Ventura
P102474,7/7/2014,High,Ventura
P102475,7/7/2014,Low,Los Angeles
P102476,7/7/2014,High,Orange
P102477,7/7/2014,Low,Los Angeles
P102478,7/7/2014,Low,Los Angeles
P102479,7/7/2014,Medium,Riverside
P102480,7/7/2014,High,Los Angeles
P102481,7/7/2014,High,Los Angeles
P102482,7/7/2014,Medium,Los Angeles
P102483,7/7/2014,High,Los Angeles
P102484,7/8/2014,High,Ventura
P102485,7/8/2014,Low,Ventura
P102486,7/8/2014,Medium,Orange
P102487,7/8/2014,Medium,Orange
P102488,7/8/2014,Medium,San Bernadino
P102489,7/8/2014,Low,Ventura
P102490,7/8/2014,High,Riverside
P102491,7/8/2014,High,Orange
P102492,7/8/2014,Medium,Riverside
P102493,7/8/2014,High,San Bernadino
P102494,7/9/2014,High,Los Angeles
P102495,7/9/2014,Medium,San Bernadino
P102496,7/9/2014,Low,Los Angeles
P102497,7/9/2014,Medium,Riverside
P102498,7/9/2014,Medium,Riverside
P102499,7/9/2014,Low,Ventura
P102500,7/9/2014,Medium,Orange
P102501,7/9/2014,High,Los Angeles
P102502,7/9/2014,Low,Los Angeles
P102503,7/10/2014,Low,Orange
P102504,7/10/2014,High,Riverside
P102505,7/10/2014,Low,Los Angeles
P102506,7/10/2014,Medium,Orange
P102507,7/10/2014,Medium,Los Angeles
P102508,7/10/2014,High,Los Angeles
P102509,7/10/2014,High,Ventura
P102510,7/10/2014,Low,Los Angeles
P102511,7/10/2014,Medium,San Bernadino
P102512,7/10/2014,Medium,Los Angeles
P102513,7/10/2014,Medium,Los Angeles
P102514,7/11/2014,High,Ventura
P102515,7/11/2014,Low,Los Angeles
P102516,7/11/2014,High,Los Angeles
P102517,7/11/2014,Medium,Orange
P102518,7/11/2014,Low,Orange
P102519,7/11/2014,High,Los Angeles
P102520,7/11/2014,Medium,Los Angeles
P102521,7/11/2014,High,Los Angeles
P102522,7/11/2014,Medium,Los Angeles
P102523,7/11/2014,Low,Riverside
P102524,7/11/2014,Medium,San Bernadino
P102525,7/11/2014,Low,Riverside
P102526,7/11/2014,Medium,Ventura
P102527,7/12/2014,Low,San Bernadino
P102528,7/12/2014,High,Los Angeles
P102529,7/12/2014,Low,Riverside
P102530,7/12/2014,Low,San Bernadino
P102531,7/12/2014,High,Los Angeles
P102532,7/12/2014,Medium,San Bernadino
P102533,7/12/2014,High,San Bernadino
P102534,7/12/2014,High,Ventura
P102535,7/12/2014,High,San Bernadino
P102536,7/12/2014,Medium,San Bernadino
P102537,7/12/2014,Medium,San Bernadino
P102538,7/13/2014,Medium,Riverside
P102539,7/13/2014,High,Ventura
P102540,7/13/2014,Low,Ventura
P102541,7/13/2014,High,Los Angeles
